Location, cx, cy
"centraal",                52.080395, 4.325370
"maduradam",               52.0995,     4.2969
"gemeentemuseume",         52.0899,     4.2807
"kijkduin",                52.0614,     4.2218
"de uithof",               52.0382,     4.2416
"haagsemarkt",             52.0646,     4.2991
"mauritshuis",             52.0804,     4.3143
"familiepark drievliet",   52.0551,     4.3499
"huistenbosch",            52.093256, 4.343400
"Museum Voorlinden",       52.1185,     4.3459
"scheveningen",            52.1145,     4.2790
